,MAE,RMSE,MAPE,sMAPE
Ensemble,492268.1233610717,560019.2718502332,1.0583123639385152,1.059528721934982
Theta,634690.3147072443,848958.1489653748,1.3698702714752977,1.3750089365053397
Prophet,760410.25229431,904259.9032140858,1.6282127267537163,1.6376993285034855
SARIMAX,768744.5750699312,937891.9310821127,1.6590369475877382,1.640328034412037
STL,920089.8109700272,1181220.5604875982,1.9851549643045845,1.9538600199730898
UCM,1199725.52749474,1518290.6697121349,2.5706585629752903,2.6233385428598823
