Model,13-week test RMSE ($),Two-year total ($),Average weekly sales ($),Lowest weekly sales ($),Highest weekly sales ($)
SARIMAX,937891.93,5049608286.78,48553925.83,41457338.14,72307726.92
STL,1181220.56,5023440513.92,48302312.63,40388987.43,77659125.58
Prophet,904259.9,5132606354.13,49351984.17,39086814.06,66086212.56
UCM,1518290.67,4934722945.15,47449259.09,41109982.27,60969084.99
Theta,848958.15,5078731800.61,48833959.62,40861830.5,81790510.57
Ensemble,560019.27,5043821980.12,48498288.27,41371031.81,70706957.41
